ID	MissionType	Name	Desc	Icon	MissionValue	MissionProcess	RewardCoin	RewardItems
1	0	初出茅庐	完成5场牌局	0	0	5	200	0
2	0	小试身手	完成20场牌局	0	0	20	1000	0
3	0	展露锋芒	完成50局牌局	0	0	50	2000	0
4	0	大展拳脚	完成100局牌局	0	0	100	5000	0
5	0	纵横沙场	完成200局牌局	0	0	200	10000	0
6	1	旗开得胜	获得5场胜利	0	0	5	500	0
7	1	略胜一筹	获得10场胜利	0	0	10	1000	0
8	1	出奇制胜	获得20场胜利	0	0	20	2000	0
9	1	常胜不败	获得50场胜利	0	0	50	5000	0
10	1	百战百胜	获得100场胜利	0	0	100	10000	0
11	2	葫芦娃	以“葫芦”牌型获胜1次	0	2	1	4000	0
12	2	皇家极品	以“皇家同花顺”牌型获得1一次胜利	0	0	1	30000	0
13	5	宾朋满座	新增3名好友	0	0	3	500	0
14	3	开门有喜	每天第一次登陆	0	0	1	6000	0
	4	天生我才	单局赢得筹码超过100万	0	0	1	100000	0
