ShopItemID	CountOrTime	ShopItemType	itemID	Flag	PriceType	OrigPrice	CurPrice
1001	7	3	200001	1	1	48	48
1002	30	3	200001	1	1	186	186
1003	60	3	200001	1	1	328	328
1004	7	3	200002	0	2	89000	89000
1005	30	3	200002	0	2	320000	320000
1006	60	3	200002	0	2	600000	600000
1007	7	3	200003	0	2	89000	89000
1008	30	3	200003	0	2	162000	162000
1009	60	3	200003	0	2	298000	298000
1010	7	3	200004	4	1	68	68
1011	30	3	200004	4	1	226	226
1012	60	3	200004	4	1	408	408
1013	7	3	200005	1	1	108	108
1014	30	3	200005	1	1	416	416
1015	60	3	200005	1	1	888	888
1016	7	3	200006	2	1	168	168
1017	30	3	200006	2	1	666	666
1018	60	3	200006	2	1	1188	1188
1019	7	3	200007	1	1	28	28
1020	30	3	200007	1	1	98	98
1021	60	3	200007	1	1	166	166
1022	7	3	200008	0	2	66000	66000
1023	30	3	200008	0	2	216000	216000
1024	60	3	200008	0	2	388000	388000
1025	7	3	200009	0	2	66000	66000
1026	30	3	200009	0	2	216000	216000
1027	60	3	200009	0	2	388000	388000
1028	7	3	200010	4	1	46	46
1029	30	3	200010	4	1	180	180
1030	60	3	200010	4	1	320	320
1031	7	3	200011	1	1	68	68
1032	30	3	200011	1	1	226	226
1033	60	3	200011	1	1	408	408
1034	7	3	200012	2	1	108	108
1035	30	3	200012	2	1	416	416
1036	60	3	200012	2	1	888	888
1037	7	3	200013	1	1	28	28
1038	30	3	200013	1	1	98	98
1039	60	3	200013	1	1	166	166
1040	7	3	200014	0	2	66000	66000
1041	30	3	200014	0	2	216000	216000
1042	60	3	200014	0	2	388000	388000
1043	7	3	200015	0	2	66000	66000
1044	30	3	200015	0	2	216000	216000
1045	60	3	200015	0	2	388000	388000
1046	7	3	200016	4	1	46	46
1047	30	3	200016	4	1	180	180
1048	60	3	200016	4	1	320	320
1049	7	3	200017	1	1	68	68
1050	30	3	200017	1	1	226	226
1051	60	3	200017	1	1	408	408
1052	7	3	200018	2	1	108	108
1053	30	3	200018	2	1	416	416
1054	60	3	200018	2	1	888	888
1055	7	3	200001	1	1	48	48
1056	30	3	200001	1	1	186	186
1057	60	3	200001	1	1	328	328
1058	7	3	200002	0	2	89000	89000
1059	30	3	200002	0	2	162000	162000
1060	60	3	200002	0	2	298000	298000
1061	7	3	200003	0	2	89000	89000
1062	30	3	200003	0	2	162000	162000
1063	60	3	200003	0	2	298000	298000
1064	7	3	200004	4	1	68	68
1065	30	3	200004	4	1	226	226
1066	60	3	200004	4	1	408	408
1067	7	3	200005	1	1	108	108
1068	30	3	200005	1	1	416	416
1069	60	3	200005	1	1	888	888
1070	7	3	200006	2	1	168	168
1071	30	3	200006	2	1	666	666
1072	60	3	200006	2	1	1188	1188
1073	7	3	200007	1	1	28	28
1074	30	3	200007	1	1	98	98
1075	60	3	200007	1	1	166	166
1076	7	3	200008	0	2	66000	66000
1077	30	3	200008	0	2	216000	216000
1078	60	3	200008	0	2	388000	388000
1079	7	3	200009	0	2	66000	66000
1080	30	3	200009	0	2	216000	216000
1081	60	3	200009	0	2	388000	388000
1082	7	3	200010	4	1	46	46
1083	30	3	200010	4	1	180	180
1084	60	3	200010	4	1	320	320
1085	7	3	200011	1	1	68	68
1086	30	3	200011	1	1	226	226
1087	60	3	200011	1	1	408	408
1088	7	3	200012	2	1	108	108
1089	30	3	200012	2	1	416	416
1090	60	3	200012	2	1	888	888
1091	7	3	200013	1	1	28	28
1092	30	3	200013	1	1	98	98
1093	60	3	200013	1	1	166	166
1094	7	3	200014	0	2	66000	66000
1095	30	3	200014	0	2	216000	216000
1096	60	3	200014	0	2	388000	388000
1097	7	3	200015	0	2	66000	66000
1098	30	3	200015	0	2	216000	216000
1099	60	3	200015	0	2	388000	388000
1100	7	3	200016	4	1	46	46
1101	30	3	200016	4	1	180	180
1102	60	3	200016	4	1	320	320
1103	7	3	200017	1	1	68	68
1104	30	3	200017	1	1	226	226
1105	60	3	200017	1	1	408	408
1106	7	3	200018	2	1	108	108
1107	30	3	200018	2	1	416	416
1108	60	3	200018	2	1	888	888
