configID	itemName	toll	type	plateType	count	itemID	rate	times																															
10001	5钻	0	0	0	5	800000	1085	1																															
10002	10钻	0	45	0	10	800000	500	1																															
10003	100钻	0	90	0	100	800000	100	1																															
10004	x2000	0	135	1	2000	600000	4500	1																															
10005	x5000	0	180	1	5000	600000	2500	1																															
10006	x20000	0	225	1	20000	600000	1300	1																															
10007	5奖券	0	270	4	5	500000	10	1																															
10008	10奖券	0	315	4	10	500000	5	1																															
10009	20钻	20	0	0	20	800000	598	2																															
10010	100钻	20	45	0	100	800000	200	2																															
10011	300钻	20	90	0	300	800000	50	2																															
10012	x8888	20	135	1	8888	600000	6000	2																															
10013	x18888	20	180	1	18888	600000	2850	2																															
10014	x18万	20	225	1	180000	600000	300	2																															
10015	10奖券	20	270	4	10	500000	1	2																															
10016	30奖券	20	315	4	30	500000	1	2																															
10017	60钻	50	0	0	60	800000	598	3																															
10018	300钻	50	45	0	300	800000	200	3																															
10019	600钻	50	90	0	600	800000	50	3																															
10020	x6万	50	135	1	60000	600000	6000	3																															
10021	x16万	50	180	1	160000	600000	2850	3																															
10022	x188万	50	225	1	1800000	600000	300	3																															
10023	50奖券	50	270	4	50	500000	1	3																															
10024	100奖券	50	315	4	100	500000	1	3																															
																																							
																																							
																																							
		 																																					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
